Ano Censo,Número de Instituições de Educação Superior,Nome Região,Sigla UF,Sigla Região
2015,60,CENTRO-OESTE,DF,CO
2015,85,CENTRO-OESTE,GO,CO
2015,34,CENTRO-OESTE,MS,CO
2015,56,CENTRO-OESTE,MT,CO
2015,28,NORDESTE,AL,NE
2015,118,NORDESTE,BA,NE
2015,58,NORDESTE,CE,NE
2015,35,NORDESTE,MA,NE
2015,36,NORDESTE,PB,NE
2015,98,NORDESTE,PE,NE
2015,38,NORDESTE,PI,NE
2015,28,NORDESTE,RN,NE
2015,17,NORDESTE,SE,NE
2015,11,NORTE,AC,NO
2015,19,NORTE,AM,NO
2015,16,NORTE,AP,NO
2015,41,NORTE,PA,NO
2015,31,NORTE,RO,NO
2015,7,NORTE,RR,NO
2015,25,NORTE,TO,NO
2015,81,SUDESTE,ES,SE
2015,302,SUDESTE,MG,SE
2015,137,SUDESTE,RJ,SE
2015,598,SUDESTE,SP,SE
2015,186,SUL,PR,SU
2015,125,SUL,RS,SU
2015,94,SUL,SC,SU